Project name,Alternate name,Country,River,Latitude,Longitude,Function,Status,COD Year,Installed capacity MW,Mean annual energy GW,Max. Irrigation Area km2,Height M,Crest length M,Total storage (FSL) Million m3,Max reservoir area km2,No. displaced People,Est. cost Mil. US$
Santhong-Pakchom,Pak Chom,LAO,Mekong,18.201038,102.050588,HPD,PLAN,,"1,079.00",5052,,55,"1,200",,80.3,,
Theun-Hinboun,,LAO,Nam Theun/Hinboun,18.261005,104.562525,HPD,COMM,1998-01-01T00:00:00Z,220,1645,,27,330,,,,270
Theun-Hinboun exp.,Nam Gnouang,LAO,Nam Gnouang,18.297248,104.636171,HPD,COMM,2013-01-01T00:00:00Z,222,1395,,65,480,2450,105,,720
Xayabouri,,LAO,Mekong,19.254006,101.813699,HPD,UCON,2019-01-01T00:00:00Z,"1,285.00",6035.3,,48,810,1300,49,"2,100","2,000"
Xe Bang Hieng 1,,LAO,Xe Bang Hieng,16.229857,105.58319,HPD,PLAN,2020-01-01T00:00:00Z,60,182.2,,,,,,,
Xe Bang Hieng 2,,LAO,Xe Bang Hieng,16.848167,106.300822,HPD,PLAN,2020-01-01T00:00:00Z,90,288,,,,,,"2,700",
Xe Kaman 1,Xekaman 1 + Xanxai,LAO,Xe Kaman,14.960724,107.156336,HPD,COMM,2015-01-01T00:00:00Z,290,1096,,120,185,4804,149.8,,441
Xe Kaman 2A,,LAO,Xe Kaman,15.269677,107.450217,HPD,PLAN,,180,563.8,,63.5,188.399994,,,,
Xe Kaman 2B,,LAO,Xe Kaman,15.208894,107.43405,HPD,PLAN,,35,160,,85,294.299988,,,,
Xe Kaman 3,,LAO,Houayho/Xekong,15.425194,107.362611,HPD,COMM,2014-01-01T00:00:00Z,250,1000.3,,101.5,542.6,141.5,5.2,,
Xe Kaman 4A,,LAO,Xe Kaman,15.224058,107.526408,HPD,PLAN,2018-01-01T00:00:00Z,96,375,,60,237.600006,,,,
Xe Kaman 4B,,LAO,Xe Kaman,15.345381,107.528642,HPD,PLAN,2020-01-01T00:00:00Z,80,318,,61.4,231.600006,,,,
Xe Katam,,LAO,Xe Katam,15.130301,106.593447,HPD,PLAN,,81.3,348,,41.4,420.5,,,,
Xe Lanong 1,,LAO,Xe Bang Hieng,16.255867,106.570317,HPD,PLAN,2021-01-01T00:00:00Z,70,256.7,,,,,,,
Xe Nam Noy 2 - Xe Katam 1,,LAO,Xenamnoy,15.111161,106.627445,HPD,UCON,,13.4,80,,,,,,,
Xe Neua,,LAO,Xe Bang Fai,17.338667,105.905767,HPD,PLAN,2020-01-01T00:00:00Z,53,209,,,,,,,
Xe Pon 3,,LAO,Xe Banghieng,16.302781,106.838408,HPD,PLAN,2018-01-01T00:00:00Z,47.6,146.3,,35,500,,,600,
Xe Xou,,LAO,Xe Kong,14.708517,107.176606,HPD,PLAN,2022-01-01T00:00:00Z,30,100,,,,,,,
Xekaman-Sanxay,,LAO,Xe Kaman,14.890823,107.119451,HPD,COMM,2017-01-01T00:00:00Z,32,123,,28,180,,,,
Xekong (Downstream),Xekong Downstream A,LAO,Xe Kong,14.59331,106.549082,HPD,PLAN,2020-01-01T00:00:00Z,76,387.8,,,,,,,
Xekong 3A,,LAO,Xekong,15.376555,106.780394,HPD,PROP,2020-01-01T00:00:00Z,105,410.5,,41.5,571.700012,,,"1,080",
Xekong 3B,,LAO,Xekong,15.116567,106.825252,HPD,PROP,2020-01-01T00:00:00Z,100,393.5,,25.9,283,,,240,
Xekong 4,,LAO,Xekong,15.513099,106.78819,HPD,PROP,,400,1901,,169,"1,027",10.5,170.3,"4,458",
Xekong 5,Sekong 5,LAO,Xekong,15.974042,106.930821,HPD,PROP,2020-01-01T00:00:00Z,330,3897,,200,520,3300,32.7,440,850
Xelabam,,LAO,Xedon,15.356136,105.832084,HPD,COMM,1970-01-01T00:00:00Z,5,23.5,,3.7,435,,0.55,,0
Xepian-Xenamnoy,,LAO,Xepian/Xenamnoy,14.946382,106.627369,HPD,UCON,2018-01-01T00:00:00Z,410,1880,,75.5,"1,788",1092,50,800,"1,020"
Xeset 1,,LAO,Xeset,15.491744,106.278621,HPD,COMM,1994-01-01T00:00:00Z,45,154.3,,18,124,,,,
Xeset 2,,LAO,Xe Set,15.403775,106.280332,HPD,COMM,2009-01-01T00:00:00Z,76,309,,26,144,,,,
Xeset 3,,LAO,Xe Don,15.342113,106.31115,HPD,UCON,2020-01-01T00:00:00Z,20,74,,,,,,,
Unknown 35,,LAO,,21.033661,101.407099,HPD,COMM,,,,,,,,,,
Unknown 36,,LAO,,18.873498,102.652235,HPD,COMM,,,,,,,,,,
Unknown 37,,LAO,,18.116086,102.600441,ID,COMM,,,,,,,,,,
He Kou,,MYN,Nam Lwe,21.341291,100.720928,HPD,PLAN,2026-01-01T00:00:00Z,138,569/622,,50.5,223,67.88,6.5,,
Keng Tong,,MYN,Nam Lwe,21.617799,99.500985,HPD,PLAN,2026-01-01T00:00:00Z,170,774.65,,54,215,32.4,8.4,,
Keng Yang,,MYN,Nam Lwe,21.341394,100.55791,HPD,PLAN,2026-01-01T00:00:00Z,70,286/315,,33,148,40.52,5.4,,
Mong Wa,,MYN,Nam Lwe,21.406619,100.400396,HPD,PLAN,,66,330.45,,51,237.4,64.93,8.01,,
Nam Khok,,MYN,Nam Khok,20.147178,99.350439,HPD,PLAN,,55,220.5,,63,538,730,36.1,,
Nam Lin,,MYN,Nam Lin,20.740679,100.24424,HPD,PLAN,,,,,,,,,,
Suo Lwe,"Solu, So Lue",MYN,Nam Lwe,21.359563,100.176054,HPD,PLAN,2026-01-01T00:00:00Z,240,1099.7,,125,418,1338,40.89,,
Wan Da Ping,Wantapeng,MYN,Nam Lwe,21.694433,99.47436,HPD,CANL,2026-01-01T00:00:00Z,33,,,,,,,,
Ampuen,,THA,,14.763342,103.544987,ID,COMM,,,,,,,,,,
Ban Don Siad,,THA,,18.13422,103.522975,ID,COMM,,,,,,,,,,
Ban Don Tat Ruea,,THA,,15.423939,102.538875,ID,COMM,,,,,,,,,,
Ban Ka Hat,,THA,,15.638377,102.03854,ID,COMM,,,,,,,,,,
Ban Phet,,THA,,16.359532,102.302099,ID,COMM,,,,,,,,,,
Ban Phue,,THA,,15.288087,103.84487,ID,COMM,,,,,,,,,,
Bang Phuan,,THA,,17.676182,102.604388,ID,COMM,,,,,,,,,,
Bueng Kan,,THA,,18.350621,103.670704,ID,COMM,,,,,,,,,,
Bueng Khong Long,,THA,,17.961029,104.032049,ID,COMM,,,,,,,,,,
Bueng Kraton,,THA,,15.555694,102.740193,ID,COMM,,,,,,,,,,
Bueng Lahan,,THA,,15.657977,101.918118,ID,COMM,,,,,,,,,,
Bueng Sa Kham,,THA,,17.953804,103.878619,ID,COMM,,,,,,,,,,
Charat Phattana,,THA,,14.419274,103.947881,ID,COMM,,,,,,,,,,
Chiang At,,THA,,17.887551,102.889045,ID,COMM,,,,,,,,,,
Chulabhorn,,THA,Nam Phrom,16.536267,101.650036,HPD,COMM,1972-01-01T00:00:00Z,40,93,,70,700,165,31,,
Han Kumphawapi,,THA,,17.223553,103.058554,ID,COMM,,,,,,,,,,
Hua Chang,,THA,,17.776286,102.641319,ID,COMM,,,,,,,,,,
Hua Na,,THA,Huay Kaosan,15.134364,104.702882,HPD,COMM,1995-01-01T00:00:00Z,,,,17,207,,,,
Huai Aeng,,THA,,16.116437,103.456843,ID,COMM,,,,,,,,,,
Huai Bo Pueai,,THA,,17.679062,104.087526,ID,COMM,,,,,,,,,,
Huai Chan La,,THA,,14.412547,105.14203,ID,COMM,,,,,,,,,,
Huai Chan Tai,,THA,,15.650763,103.377751,ID,COMM,,,,,,,,,,
Huai Chorakhe Mak,,THA,,14.913202,103.044987,ID,COMM,,,,,,,,,,
Huai Chum Chang,,THA,,16.526378,104.142581,ID,COMM,,,,,,,,,,
Huai Dan Ai,,THA,,14.493148,104.574722,ID,COMM,,,,,,,,,,
Huai Doan,,THA,,14.756573,105.478007,ID,COMM,,,,,,,,,,
Huai Duanha,,THA,,14.646624,105.441612,ID,COMM,,,,,,,,,,
Huai Fa,,THA,,16.672162,103.890533,ID,COMM,,,,,,,,,,
Huai Hat,,THA,,17.256771,103.431823,ID,COMM,,,,,,,,,,
Huai Hin Kaew,,THA,,17.949234,102.365629,ID,COMM,,,,,,,,,,
Huai Hin Khong,,THA,,15.91321,104.971394,ID,COMM,,,,,,,,,,
Huai Hin Kong,,THA,,14.845991,105.478426,ID,COMM,,,,,,,,,,
Huai Huat,,THA,,16.933574,104.170283,ID,COMM,,,,,,,,,,
Huai Ka Nad Mon,,THA,,14.439717,103.786697,ID,COMM,,,,,,,,,,
Huai Kaeng,,THA,,16.536087,103.688923,ID,COMM,,,,,,,,,,
Huai Kan Lueang,,THA,,17.338487,103.397505,ID,COMM,,,,,,,,,,
Huai Kanum,,THA,,14.441577,104.829834,ID,COMM,,,,,,,,,,
Huai Khakrang,,THA,,16.049881,103.26754,ID,COMM,,,,,,,,,,
Huai Kham Bak,,THA,,17.314129,103.335166,ID,COMM,,,,,,,,,,
Huai Khee Lek,,THA,,16.358697,104.57189,ID,COMM,,,,,,,,,,
Huai Khla,,THA,,15.017245,104.246117,ID,COMM,,,,,,,,,,
Huai Kho,,THA,,15.824042,103.030661,ID,COMM,,,,,,,,,,
Huai Khon Sak,,THA,,16.207471,102.918039,ID,COMM,,,,,,,,,,
Huai Kum,,THA,Nam Phrom,16.410264,101.7932,HPD,COMM,1982-01-01T00:00:00Z,1.2,2,,35.5,282,22,0.3,,
Huai Lamoud,,THA,,14.624248,105.39561,ID,COMM,,,,,,,,,,
Huai Lat Krachoe,,THA,,17.079719,103.727083,ID,COMM,,,,,,,,,,
Huai Ling Chon,,THA,,16.247871,104.401528,ID,COMM,,,,,,,,,,
Huai Lom Phai,,THA,,16.733034,102.134267,ID,COMM,,,,,,,,,,
Huai Luang,,THA,,17.374942,102.598761,ID,COMM,1984-01-01T00:00:00Z,,,,12.5,,113,3.2,,
Huai Mamo,,THA,,16.763403,104.043292,ID,COMM,,,,,,,,,,
Huai Mekha,,THA,,14.356678,103.070994,ID,COMM,,,,,,,,,,
Huai Nam Ma,,THA,,17.85308,102.351141,ID,COMM,,,,,,,,,,
Huai Nam Man,,THA,,17.50606,101.624189,ID,COMM,,,,,,,,,,
Huai O Ta Lat,,THA,,14.547142,104.238246,ID,COMM,,,,,,,,,,
Huai Phai,,THA,,16.684768,104.194409,ID,COMM,,,,,,,,,,
Huai Pho,,THA,,15.890687,104.586448,ID,COMM,,,,,,,,,,
Huai Phueng (1),,THA,,14.427148,105.206521,ID,COMM,,,,,,,,,,
Huai Phueng (2),,THA,,16.660784,103.905821,ID,COMM,,,,,,,,,,
Huai Phung,,THA,,16.78084,104.146218,ID,COMM,,,,,,,,,,
Huai Pra Du,,THA,,16.129534,103.174826,ID,COMM,,,,,,,,,,
Huai Pung Yai,,THA,,16.387366,104.274907,ID,COMM,,,,,,,,,,
Huai Sa Phung,,THA,,14.68132,105.430055,ID,COMM,,,,,,,,,,
Huai Sabaek,,THA,,16.15893,104.68572,ID,COMM,,,,,,,,,,
Huai Sai,,THA,,17.219531,104.029677,ID,COMM,,,,,,,,,,
Huai Sala,,THA,,14.52722,104.194728,ID,COMM,,,,,,,,,,
Huai Sam Ka,,THA,,17.941148,103.699367,ID,COMM,,,,,,,,,,
Huai Samed,,THA,,14.4022,103.281622,ID,COMM,,,,,,,,,,
Huai San Dot,,THA,,15.441087,104.305443,ID,COMM,,,,,,,,,,
Huai Saneng,,THA,,14.81554,103.496535,ID,COMM,,,,,,,,,,
Huai Sang Khiap,,THA,,16.837431,103.757984,ID,COMM,,,,,,,,,,
Huai Sathot,,THA,,16.692846,103.859352,ID,COMM,,,,,,,,,,
Huai Sawai,,THA,,14.911342,103.24685,ID,COMM,,,,,,,,,,
Huai Si Tho,,THA,,15.886768,104.742655,ID,COMM,,,,,,,,,,
Huai Sun,,THA,,15.179565,104.991056,ID,COMM,,,,,,,,,,
Huai Ta,,THA,,14.519913,104.472326,ID,COMM,,,,,,,,,,
Huai Ta Chu,,THA,,14.546259,104.350954,ID,COMM,,,,,,,,,,
Huai Ta Kong Yai,,THA,,17.893861,102.362273,ID,COMM,,,,,,,,,,
Huai Ta Mai,,THA,,14.732455,104.58621,ID,COMM,,,,,,,,,,
Huai Tabaeng,,THA,,14.490937,104.477478,ID,COMM,,,,,,,,,,
Huai Takhro,,THA,,15.457975,102.290609,ID,COMM,,,,,,,,,,
Huai Talat,,THA,,14.880086,103.086771,ID,COMM,,,,,,,,,,
Huai Tam Tao,,THA,,16.928656,104.218344,ID,COMM,,,,,,,,,,
Huai Tha,,THA,,16.711,104.23048,ID,COMM,,,,,,,,,,
Huai Tha Son,,THA,,14.429349,103.982048,ID,COMM,,,,,,,,,,
Huai Tham Khe,,THA,,15.630271,105.046627,ID,COMM,,,,,,,,,,
Huai Thom,,THA,,15.742925,104.383795,ID,COMM,,,,,,,,,,
Huai Thon Ton Bon,,THA,,17.9614,102.383663,ID,COMM,,,,,,,,,,
Huai Wang Nong,,THA,,16.429376,104.235776,ID,COMM,,,,,,,,,,
Huai Wang Tham,,THA,,17.258673,103.862342,ID,COMM,,,,,,,,,,
Huai Wang Yai,,THA,,14.449651,105.052371,ID,COMM,,,,,,,,,,
Huai Yang,,THA,,16.891318,101.883352,ID,COMM,,,,,,,,,,
Ka Ban Liao,,THA,,17.252183,104.169677,ID,COMM,,,,,,,,,,
Kaem Ling Nong Kuak,,THA,,17.789486,102.688522,ID,COMM,,,,,,,,,,
Kaeng Lawa,,THA,,16.17483,102.680348,ID,COMM,,,,,,,,,,
Kaeng Nam Ton,,THA,,16.372143,102.777861,ID,COMM,,,,,,,,,,
Khae Loeng Chan,,THA,,16.182957,103.273091,ID,COMM,,,,,,,,,,
Khuean Lang,,THA,,16.032634,102.040406,ID,COMM,,,,,,,,,,
Klongpraput,,THA,,13.028337,102.311749,ID,COMM,,,,,,,,,,
Kon Mao,,THA,,17.683584,104.048111,ID,COMM,,,,,,,,,,
Kut Kaloem,,THA,,15.857371,104.321857,ID,COMM,,,,,,,,,,
Kut Ling Ngor,,THA,,17.323836,102.730476,ID,COMM,,,,,,,,,,
Kut Sang,,THA,,17.861838,103.943079,ID,COMM,,,,,,,,,,
Kut Suay,,THA,,17.919815,103.061092,ID,COMM,,,,,,,,,,
Kut Thing Yai,,THA,,18.342253,103.663446,ID,COMM,,,,,,,,,,
La Han Luk Nok,,THA,,17.323836,102.730476,ID,COMM,,,,,,,,,,
Lam Chamuak,,THA,,15.08472,102.487656,ID,COMM,1992-01-01T00:00:00Z,,,,18,"1,785",26,6.4,,
Lam Changham,,THA,,14.314509,102.872857,ID,COMM,,,,,,,,,,
Lam Chiang Krai,,THA,,15.221819,101.900559,ID,COMM,,,,,,,,,,
Lam Dom Yai,,THA,Dom Yai,15.219598,105.143001,HPD,COMM,,,,,,,,,,
Lam Nang Rong,,THA,,14.300343,102.764461,ID,COMM,1982-01-01T00:00:00Z,,,,23,,150,11.6,,
Lam Pao,,THA,Lam Pao/Huai Yang,16.602568,103.45234,ID,COMM,1968-01-01T00:00:00Z,,,,33,"2,578",1340,240,,
Lam Pathia,,THA,,14.323963,102.937653,ID,COMM,,,,,,,,,,
Lam Pha Thao,,THA,,16.075135,102.062799,ID,COMM,,,,,,,,,,
Lam Pha Young,,THA,,16.65858,104.17255,ID,COMM,,,,,,,,,,
Lam Phok,,THA,,14.938946,103.851694,ID,COMM,,,,,,,,,,
Lam Phra Phloeng,,THA,Lam Phra Phloeng,14.594678,101.839658,ID,COMM,1967-01-01T00:00:00Z,,,,50,575,110,13.1,,
Lam Plai Mat,,THA,Lam Plai Mat,14.304746,102.435627,ID,COMM,1988-01-01T00:00:00Z,,,,32,,98,1.04,,
Lam Sae,,THA,Lam Sae,14.421567,102.269991,ID,COMM,1988-01-01T00:00:00Z,,,,29.5,,275,2.95,,
Lam Sai Lai,,THA,,14.679435,101.872999,ID,COMM,,,,,,,,,,
Lam Ta Khong P.S.,,THA,Lam Ta Khong,14.865175,101.560303,HPD,COMM,1974-01-01T00:00:00Z,500,400,,40.3,251,310,37,,
Lower Se Bok,,THA,,15.428381,105.054356,ID,COMM,,,,,,,,,,
Mun Bon,,THA,Mun,14.48387,102.14739,ID,COMM,1980-01-01T00:00:00Z,,,,32.7,,141,1.275,,
Nam Chan,,THA,,17.607365,103.999339,ID,COMM,,,,,,,,,,
Nam Chang Yai,,THA,,15.398442,104.830209,ID,COMM,,,,,,,,,,
Nam Phan,,THA,,17.849217,103.096597,ID,COMM,,,,,,,,,,
Nam Pung,,THA,Nam Pung,16.972816,103.98313,MPD,COMM,1965-01-01T00:00:00Z,6.3,15,,40,"1,720",165.5,2.165,,
Nam Un,,THA,,17.303655,103.75674,ID,COMM,1973-01-01T00:00:00Z,,,,29.5,"3,300",520,8.5,,
Nong Bon,,THA,,14.297894,102.748058,ID,COMM,,,,,,,,,,
Nong Chang Yai,,THA,,15.398442,104.830209,ID,COMM,,,,,,,,,,
Nong Fa,,THA,,17.818004,103.978222,ID,COMM,,,,,,,,,,
Nong Lao Hin,,THA,,15.3997,104.489003,ID,COMM,,,,,,,,,,
Nong Lerng,,THA,,18.04058,103.609126,ID,COMM,,,,,,,,,,
Nong Luang,,THA,,17.85993,103.880297,ID,COMM,,,,,,,,,,
Nong Sang Yai,,THA,,17.663355,104.146868,ID,COMM,,,,,,,,,,
Pak Mun,,THA,Mun,15.281894,105.468058,HPD,COMM,1994-01-01T00:00:00Z,136,280,,17,300,,0,,
Phlan Suea Ton Lang,,THA,,14.425752,105.196092,ID,COMM,,,,,,,,,,
Phon Thong,,THA,,14.440455,103.711093,ID,COMM,,,,,,,,,,
Puttaautayan,,THA,,15.887381,104.634326,ID,COMM,,,,,,,,,,
Rasi Salai,,THA,Mun,15.343767,104.098714,ID,COMM,1994-01-01T00:00:00Z,,,,9,,,,,
Sa Nam Ban Khong Nam Tap,,THA,,15.640268,102.050336,ID,COMM,,,,,,,,,,
Si Charoen,,THA,,17.714116,102.848181,ID,COMM,,,,,,,,,,
Siridhorn,,THA,Lam Dom Noi,15.206339,105.429156,HPD,COMM,1971-01-01T00:00:00Z,36,86,,42,940,1967,288,,
Sup Pradu,,THA,,14.851139,101.702435,ID,COMM,,,,,,,,,,
Ta Kao,,THA,,14.461036,103.61156,ID,COMM,,,,,,,,,,
Ta Ma Nao,,THA,,17.729489,103.28821,ID,COMM,,,,,,,,,,
Ta Tum,,THA,,14.455556,103.740681,ID,COMM,,,,,,,,,,
Thung Yai,,THA,,17.509268,103.195577,ID,COMM,,,,,,,,,,
Ubol Ratana,,THA,Nam Pong,16.775394,102.618325,HPD,COMM,1966-01-01T00:00:00Z,25.2,57,,35.1,885,2559,410,"30,000",
Yasothon-Phanomprai,,THA,,15.311222,104.456481,ID,COMM,,,,,,,,,,
Unknown 38,,THA,,16.818826,104.106696,ID,COMP,,,,,,,,,,
Unknown 39,Huai Ta Koh,THA,,14.369716,103.16285,ID,COMP,,,,,,,,,,
Unknown 40,Aor Bor Tor Lum Lam Chi,THA,,15.679547,101.93806,ID,COMM,,,,,,,,,,
A Luoi,,VN,A Sap,16.197619,107.161897,HPD,COMM,2012-01-01T00:00:00Z,170,686.5,,49.5,208,,20.8,872,202.1
Bien Ho,,VN,,14.058119,108.003231,ID,COMM,,,,,,,,,,
Buon Brah,,VN,,12.918791,108.17671,ID,COMM,,,,,,,,,,
Buon Dong,,VN,,12.839812,108.124295,ID,COMM,,,,,,,,,,
Buon Jun,,VN,,12.398096,107.61516,ID,COMM,,,,,,,,,,
Buôn Kốp,Buon Kuop,VN,Sre Pok,12.52504,107.925762,HPD,COMM,2009-01-01T00:00:00Z,280,1455.2,,,,,47.32,"4,732.00",
Buon Phong,,VN,,12.918508,108.161273,ID,COMM,,,,,,,,,,
Buon Tua Srah,,VN,Se San/Kroong Po Ko,12.282116,108.041299,HPD,COMM,2009-01-01T00:00:00Z,86,358.6,,,,,40.97,"14,143.00",
Chu Prong,,VN,,13.756963,107.895771,ID,COMM,,,,,,,,,,
Cu Knia,,VN,Cu Knia,12.593417,107.794121,ID,COMM,,,,3.5,,500,,,,
Dak A Koi,,VN,Dak A Koi,14.513075,108.182047,HPD,COMM,,,,,,,,,,
Dak Doa,,VN,Ia Krom,14.184836,108.106698,HPD,COMM,2010-01-01T00:00:00Z,14,22.5,,20,,29.13,,,
Dak Drong,,VN,Sre Pok,12.618512,107.784431,ID,COMM,,,,,7.6,700,2.47,,,
Dak Mam,,VN,,12.471579,107.854269,ID,COMM,,,,,,,,,,
Dak Minh,,VN,,12.909032,107.804601,ID,COMM,,,,,,,,,,
Dak Mot,,VN,,14.746194,107.760962,HPD,COMM,,,,,,,,,,
Dak N'Teng,,VN,Dak N'Teng,12.196147,107.926571,HPD,COMM,2011-01-01T00:00:00Z,13,52.8,,31,315,25.49,323,,
Dak Nang,,VN,,12.30971,107.934032,ID,COMM,,,,,,,,,,
Dak Ne,,VN,,14.528467,108.21922,HPD,COMM,,8.1,37.9,,,,,0.03,,
Dak Po,,VN,,14.677733,107.773163,HPD,COMM,,,,,,,,,,
Dak Po Co,,VN,,14.645242,107.808447,HPD,COMM,2015-01-01T00:00:00Z,15,,,,,,,,
Dak Psi 3,,VN,Dak Psi,14.797962,108.007362,HPD,COMM,2010-01-01T00:00:00Z,45,170.5,,,,,0.48,,
Dak Psi 4,,VN,,14.768805,108.002919,HPD,COMM,,,,,,,,,,
Dak Psi 5,,VN,Dak Psi,14.661309,107.936683,HPD,COMM,2012-01-01T00:00:00Z,10,,,,,3.53,,,
Dak Ro,,VN,Dak Ro,12.431718,107.847196,HPD,COMM,,,,,,210,,,,
Dak Ro Sa,,VN,Dak To Kan,14.713504,107.821155,HPD,COMM,2007-01-01T00:00:00Z,7.5,33,,,,0.3,,,
Dak Ro Sa 2,,VN,Dak To Kan,,,HPD,COMM,2007-01-01T00:00:00Z,2.4,,,,,0.05,,,
Dak Ru,,VN,Dong Nai,14.817125,107.850334,HPD,COMM,,7.5,,,6.1,,0.98,,,
Dak Tram,,VN,Dak Tram,14.747345,107.835755,HPD,COMM,,,,,,,,,,
Dak Wi,,VN,,14.53854,107.969272,ID,COMM,,,,,,,,,,
Dak Yen,,VN,Se San,14.288446,107.977571,ID,COMM,,,,10.67,22.5,"1,275.00",6.45,,,
Dray Hinh 1,,VN,Sre Pok,12.671251,107.907448,HPD,COMM,1990-01-01T00:00:00Z,12,94,,,,,,,
Dray Hinh 2,,VN,Sre Pok,12.6757,107.903978,HPD,COMM,2007-01-01T00:00:00Z,16,85,,,,,,,
Duc Xuyen,,VN,Sre Pok/Krong Kno,12.14071,108.100748,HPD,CANL,,49,181.3,,,,,,,
Ea Kao,,VN,Ea Kao,12.606234,108.038054,ID,COMM,,,,104,,,17.74,,,
Ea Kenh,,VN,,12.742483,108.26112,ID,COMM,,,,,,,,,,
Ea Nhai,,VN,Srepok,12.732118,108.201283,ID,COMM,,,,31.5,,,11.03,,,
Ea Sup,,VN,,13.065912,107.891876,ID,COMM,,,,,,,,,,
Ea Sup Thuong,,VN,Ea Sup,13.034523,107.932247,ID,COMM,2004-01-01T00:00:00Z,,,94.55,,"1,960.00",146,15,,
Ea Uy,,VN,Dak Droi,12.674468,108.316469,ID,COMM,,,,2.6,,,8.1,,,
Hoàng Ân,,VN,,13.821749,107.952161,ID,COMM,,,,,,,,,,
La B'Pong,,VN,,14.013601,107.878099,ID,COMM,,,,,,,,,,
La Blang,,VN,La Blang,13.836914,107.653173,HPD,COMM,,,,,,40,,,,
La Grai 1,,VN,La Grai,14.022051,107.6498,HPD,COMM,2012-01-01T00:00:00Z,10.08,,,,17.34,,,,
La Mua,,VN,,13.834544,107.940519,ID,COMM,,,,,,,,,,
La Sao,,VN,,14.06884,107.942588,ID,COMM,,,,,,,,,,
Lower Sesan 1/5,,VN/CAM,Se San,13.801776,107.455564,HPD,PROP,,96,485,,28,664,,16.29,,90
Ngok Wang,,VN,Ngok Wang,14.510676,108.000171,ID,COMM,,,,,,,,,,
Nui Lua,,VN,,12.398487,107.582708,ID,COMM,,,,,,,,,,
Plei Krong,,VN,Se San/Kroong Po Ko,14.408227,107.862991,HPD,COMM,2008-01-01T00:00:00Z,100,478.5,,65,745,1048.7,53.28,"6,239.00",
Pleipai,,VN,Sre Pok,13.488521,107.895658,ID,COMM,2011-01-01T00:00:00Z,,,128,16.5,"1,672.00",13.28,,,
Sesan 3,,VN,Se San,14.215816,107.722061,HPD,COMM,2006-01-01T00:00:00Z,260,1224.6,,79,,,6.4,,
Sesan 3A,,VN,Se San,14.106475,107.657753,HPD,COMM,2007-01-01T00:00:00Z,96,475,,,,,,665,
Sesan 4,,VN,Se San,13.968252,107.49516,HPD,COMM,2009-01-01T00:00:00Z,360,1420.1,,74,834,893,54,"1,021.00",
Sesan 4A,,VN,Se San,13.933374,107.46683,HPD,COMM,2008-01-01T00:00:00Z,63,0,,,,13.13,1.75,,
Sre Pok 3,,VN,Sre Pok,12.752344,107.876769,HPD,COMM,2009-01-01T00:00:00Z,220,1060.2,,52.5,,219,22.77,"9,279.00",
Sre Pok 4,,VN,Sre Pok,12.807331,107.855308,HPD,COMM,2009-01-01T00:00:00Z,600,329.3,,155,860,,150,,
Tân Sơn,,VN,,14.087005,108.035507,ID,COMM,,,,,,,,,,
Tay,,VN,,12.444784,107.620103,ID,COMM,,,,,,,,,,
Trung Doan 739,,VN,,13.17758,107.578784,ID,COMM,,,,,13.5,,0.82,,,
Upper Kontum,Thuong Kon Tum,VN,Se San/Dak Bla/Dak Ngh,14.694291,108.229879,HPD,COMM,2011-01-01T00:00:00Z,250,1056.4,,,,,7.08,397,
Yali,Ialy,VN,Se San,14.227481,107.829597,HPD,COMM,2001-01-01T00:00:00Z,720,3658.6,,65,"1,460.00",1073.0,64.5,"24,610.00",
Unknown 82,,VN,,13.975155,107.728166,HPD,COMM,,,,,,,,,,
